-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_8(8)         0.00%       0.000us         0.00%       0.000us       0.000us     456.724ms        90.79%     456.724ms       8.783ms            52  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     438.118ms        87.09%     438.118ms      69.235us          6328  
                                               aten::mm         0.77%       3.652ms         0.93%       4.404ms      75.935us      65.341ms        12.99%      65.341ms       1.127ms            58  
                   execute_context_0(0)_generation_7(7)         0.00%       0.000us         0.00%       0.000us       0.000us      26.398ms         5.25%      26.398ms       8.799ms             3  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us      13.562ms         2.70%      13.562ms       8.649us          1568  
                  execute_context_7(49)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       9.536ms         1.90%       9.536ms       9.536ms             1  
                   execute_context_1(7)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us       8.788ms         1.75%       8.788ms       8.788ms             1  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       8.535ms         1.70%       8.535ms       8.535ms             1  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       6.779ms         1.35%       6.779ms      78.822us            86  
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us       6.234ms         1.24%       6.234ms       4.048us          1540  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       5.785ms         1.15%       5.785ms       1.878us          3080  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us       4.165ms         0.83%       4.165ms     148.745us            28  
                  triton_red_fused_fused_add_rms_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us       3.446ms         0.69%       3.446ms       2.122us          1624  
void vllm::reshape_and_cache_flash_kernel<__nv_bfloa...         0.00%       0.000us         0.00%       0.000us       0.000us       3.241ms         0.64%       3.241ms       1.995us          1624  
                  triton_red_fused_fused_add_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us       3.074ms         0.61%       3.074ms       1.893us          1624  
                                     triton_poi_fused_3         0.00%       0.000us         0.00%       0.000us       0.000us       2.332ms         0.46%       2.332ms       1.489us          1566  
                      triton_poi_fused_mul_silu_slice_1         0.00%       0.000us         0.00%       0.000us       0.000us       2.302ms         0.46%       2.302ms       1.417us          1624  
