-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_8(8)         0.00%       0.000us         0.00%       0.000us       0.000us     598.030ms        96.03%     598.030ms       6.430ms            93  
void cutlass::Kernel2<enable_sm89_to_sm90<cutlass::g...         0.00%       0.000us         0.00%       0.000us       0.000us     233.350ms        37.47%     233.350ms      85.917us          2716  
void cutlass::Kernel2<enable_sm89_to_sm90<cutlass::g...         0.00%       0.000us         0.00%       0.000us       0.000us     132.364ms        21.25%     132.364ms      24.367us          5432  
                                               aten::mm         1.00%       5.752ms         1.20%       6.884ms      70.244us     112.651ms        18.09%     112.651ms       1.150ms            98  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     109.332ms        17.56%     109.332ms       1.151ms            95  
void cutlass::Kernel2<enable_sm89_to_sm90<cutlass::g...         0.00%       0.000us         0.00%       0.000us       0.000us      35.459ms         5.69%      35.459ms      13.056us          2716  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us      23.493ms         3.77%      23.493ms       8.740us          2688  
triton_red_fused__to_copy_abs_clamp_cutlass_scaled_m...         0.00%       0.000us         0.00%       0.000us       0.000us      14.235ms         2.29%      14.235ms       5.188us          2744  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      12.648ms         2.03%      12.648ms       6.324ms             2  
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us      10.520ms         1.69%      10.520ms       3.997us          2632  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       9.794ms         1.57%       9.794ms       1.861us          5264  
                   execute_context_1(7)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us       9.321ms         1.50%       9.321ms       9.321ms             1  
triton_red_fused__to_copy_abs_clamp_cutlass_scaled_m...         0.00%       0.000us         0.00%       0.000us       0.000us       8.432ms         1.35%       8.432ms       3.187us          2646  
triton_red_fused__to_copy_abs_clamp_cutlass_scaled_m...         0.00%       0.000us         0.00%       0.000us       0.000us       8.106ms         1.30%       8.106ms       2.954us          2744  
                  execute_context_7(49)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       7.274ms         1.17%       7.274ms       7.274ms             1  
                   execute_context_0(0)_generation_7(7)         0.00%       0.000us         0.00%       0.000us       0.000us       6.491ms         1.04%       6.491ms       6.491ms             1  
